provider,title,offer_text,conditions,discount_percent,offer_url,source_url,fetched_at
Alex Mill,Alex Mill: 10% Off your first purchase,Subscribe to our newsletter and get 10% off your first purchase.,Your first purchase,10,https://www.alexmill.com/collections/womens-sale,https://www.alexmill.com/collections/womens-sale,2026-09-17T06:22:03+00:00
Amazon,Amazon: 25% Off or more on home,25% off or more on home,Or more on home,25,https://www.amazon.com/gp/goldbox,https://www.amazon.com/gp/goldbox,2026-09-17T06:19:52+00:00
American Giant,American Giant: Free Shipping on Orders $150+,Free Shipping on Orders $150+,On Orders $150+,,https://www.american-giant.com/collections/sale-page,https://www.american-giant.com/collections/sale-page,2026-09-17T06:22:04+00:00
Atlas Coffee Club,Atlas Coffee Club: 50% Off Your First Order,Want 50% Off Your First Order?,Your First Order,50,https://atlascoffeeclub.com/collections/indonesia-offer-subscription,https://atlascoffeeclub.com/collections/indonesia-offer-subscription,2026-09-17T06:59:42+00:00
Atlas Coffee Club,Atlas Coffee Club: Free Shipping (applies to US only,Free Shipping (applies to US only,(applies to US only,,https://atlascoffeeclub.com/collections/indonesia-offer-subscription,https://atlascoffeeclub.com/collections/indonesia-offer-subscription,2026-09-17T06:59:42+00:00
Banana Republic,Banana Republic: Extra 20% Off your first purchase,Extra 20% Off your first purchase,Your first purchase,20,https://bananarepublic.gap.com/browse/category.do?cid=69883,https://bananarepublic.gap.com/browse/category.do?cid=69883,2026-09-17T06:18:32+00:00
Biossance,Biossance: $20 Off,Sign up for texts and get $20 off your first purchase,Your first purchase,,https://www.biossance.com/c/offers/,https://www.biossance.com/c/offers/,2026-09-17T06:22:29+00:00
Biossance,Biossance: 20% Off HEALTHCARE HEROES,20% OFF FOR HEALTHCARE HEROES,FOR HEALTHCARE HEROES,20,https://www.biossance.com/c/offers/,https://www.biossance.com/c/offers/,2026-09-17T06:22:29+00:00
Biossance,Biossance: 20% Off STUDENTS,20% OFF FOR STUDENTS,FOR STUDENTS,20,https://www.biossance.com/c/offers/,https://www.biossance.com/c/offers/,2026-09-17T06:22:29+00:00
Biossance,Biossance: 20% Off STUDENTS Verify your student,20% OFF FOR STUDENTS Verify your student status to unlock your exclusive 20% discount. Unlock Now,FOR STUDENTS Verify your student status to unlock your exclusive 20% discount,20,https://secure.gocertify.me/at/biossance/student,https://www.biossance.com/c/offers/,2026-09-17T06:22:29+00:00
Biossance,Biossance: 20% Off TEACHERS,20% OFF FOR TEACHERS,FOR TEACHERS,20,https://www.biossance.com/c/offers/,https://www.biossance.com/c/offers/,2026-09-17T06:22:29+00:00
